2026-06-30 19:18:29,902 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 19:18:38,356 | bronze.insert_query | INFO | [crop_analytics] Logged pipeline run 02b9160b-142a-44dd-a2e1-6232bbc09589 (failed)
2026-06-30 19:18:40,983 | bronze.insert_query | INFO | [crop_analytics] Logged pipeline run c24f5ebd-3d88-4f0a-a637-52ed40d970ac (failed)
2026-06-30 19:20:33,253 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:20:44,788 | bronze.insert_query | INFO | [production] Logged pipeline run 2f161599-ca17-4e7b-af89-d1711fd7629b (failed)
2026-06-30 19:22:50,870 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:23:02,200 | bronze.insert_query | INFO | [production] Logged pipeline run be02099b-08af-463b-b490-f917f999c698 (failed)
2026-06-30 19:24:06,996 | bronze.insert_query | INFO | [bronze.rainfall] Inserted 19 rows.
2026-06-30 19:24:18,636 | bronze.insert_query | INFO | [rainfall] Logged pipeline run be02099b-08af-463b-b490-f917f999c698 (failed)
2026-06-30 19:24:24,225 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:24:35,375 | bronze.insert_query | INFO | [temperature] Logged pipeline run be02099b-08af-463b-b490-f917f999c698 (failed)
2026-06-30 19:24:41,257 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 19:24:52,348 | bronze.insert_query | INFO | [production_coded] Logged pipeline run be02099b-08af-463b-b490-f917f999c698 (failed)
2026-06-30 19:24:58,158 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
